"credits","delivery","duration","id","institute_id","mnqf__id","mnqf__level","mnqf__title","modality","name"
"null","null","null","1608","21","16","9","MASTER'S DEGREE","null","MASTER OF ARTS IN EDUCATION - AWARDED BY OPEN UNIVERSITY MALAYSIA"
"null","null","null","1609","21","16","9","MASTER'S DEGREE","null","MASTER OF BUSINESS ADMINISTRATION - AWARDED BY OPEN UNIVERSITY"
"null","null","null","1610","21","16","9","MASTER'S DEGREE","null","MASTER OF EDUCATION"
"null","null","null","1611","21","16","9","MASTER'S DEGREE","null","MASTER OF SHARIAH"
"null","null","2 YEARS","1612","21","16","9","MASTER'S DEGREE","null","MASTER OF EDUCATION"
"168","Full-Time","2 YEARS","1613","21","16","9","MASTER'S DEGREE","FACE-TO-FACE","MASTER OF EDUCATION (AWARDING BODY - OPEN UNIVERSITY MALAYSIA)"
"160","Full-Time","18 MONTHS","1614","21","16","9","MASTER'S DEGREE","FACE-TO-FACE","MASTER OF INFORMATION TECHNOLOGY - AWARDED BY OPEN UNIVERSITY MALAYSIA"
"240","Full-Time","2 YEARS","1615","21","16","9","MASTER'S DEGREE","FACE-TO-FACE","MASTER OF RESEARCH STUDIES"
"240","null","2 YEARS","1616","21","16","9","MASTER'S DEGREE","FACE TO FACE","MASTER OF RESEARCH IN PUBLIC HEALTH"
"168","null","20 MONTHS","1617","21","16","9","MASTER'S DEGREE","FACE TO FACE","MASTER OF BUSINESS ADMINISTRATION - AWARDED BY OPEN UNIVERSITY MALAYSIA"
"180","null","1 YEAR","1618","21","16","9","MASTER'S DEGREE","FACE TO FACE","MASTER OF BUSINESS ADMINISTRATION  - AWARDED BY UNIVERSITY OF THE WEST OF ENGLAND"
"180","null","1 YEAR","1619","21","16","9","MASTER'S DEGREE","FACE TO FACE","MA EDUCATION - AWARDED BY UNIVERSITY OF THE WEST OF ENGLAND"
"180","Full-Time","1 Year","1620","21","16","9","MASTER'S DEGREE","FACE-TO-FACE","MSC IN INFORMATION TECHNOLOGY (AWARDING BODY - UNIVERSITY OF THE WEST OF ENGLAND)"
"180","Full-Time","1 YEAR","1624","21","16","9","MASTER'S DEGREE","FACE-TO-FACE","MSC ACCOUNTING AND FINANCE (AWARDING BODY - UNIVERSITY OF THE WEST OF ENGLAND) (Name changed from MSC ACCOUNTING AND FINANCIAL MANAGEMENT) "
"120","Full-Time","1 YEAR","1633","21","16","9","MASTER'S DEGREE","FACE TO FACE/VIRTUAL","MASTER OF EDUCATION IN TEACHING"
"120","Full-Time","1 YEAR","1634","21","16","9","MASTER'S DEGREE","FACE TO FACE/VIRTUAL","MASTER OF EDUCATION IN LEADERSHIP AND MANAGEMENT"
"180","Full-Time","1 YEAR","1635","21","16","9","MASTER'S DEGREE","FACE TO FACE","MSC PUBLIC HEALTH (AWARDING BODY - UNIVERSITY OF THE WEST OF ENGLAND)"
"140","Full-Time","1 YEAR","1638","21","16","9","MASTER'S DEGREE","FACE TO FACE/VIRTUAL","MASTER OF SHARIAH AND LAW (Specializaion in Criminal Law)"
"130","Full-Time","1 YEAR","1639","21","16","9","MASTER'S DEGREE","FACE TO FACE/VIRTUAL","MASTER IN BUSINESS ADMINISTRATION "
"30","FULL TIME","10 WEEKS","1647","21","2","2","CERTIFICATE II","-","CERTIFICATE II IN ENGLISH FOR SOCIAL COMMUNICATION"
"40","FULL TIME","15 WEEKS","1648","21","3","3","CERTIFICATE III","-","CERTIFICATE III IN ENGLISH FOR SOCIAL COMMUNICATION"
"200","FULL TIME","1 YEAR","1660","21","4","4","CERTIFICATE IV","FACE-TO-FACE / VIRTUAL","CERTIFICATE 4 IN NURSING (TEMPORARY APPROVAL)"
"","FULL TIME","2 YEARS","1670","21","6","6","ADVANCED DIPLOMA","FACE-TO-FACE / VIRTUAL","ACCA SKILLS LEVEL (Awarded by ACCA)"
"120 / 140","FULL TIME","1 YEAR","1671","21","16","9","MASTER'S DEGREE","FACE-TO-FACE / VIRTUAL","MASTER OF TEACHING DHIVEHI LANGUAGE"
"","FULL TIME","","1672","21","17","8","GRADUATE DIPLOMA","FACE-TO-FACE / VIRTUAL","GRADUATE DIPLOMA OF TEACHING (SECONDARY)"
"120","FULL TIME ","1 YEAR","1679","21","4","4","CERTIFICATE IV","FACE TO FACE / VIRTUAL","FOUNDATION IN PSYCHOLOGY"
"120 / 140","FULL TIME ","1 YEAR","1733","21","16","9","MASTER'S DEGREE","FACE TO FACE / VIRTUAL","MASTER OF TEACHING ISLAMIC STUDIES"
"130","FULL TIME ","1 YEAR","1735","21","9","8","POSTGRADUATE DIPLOMA","FACE TO FACE / VIRTUAL","POSTGRADUATE DIPLOMA OF TEACHING "
"60","FULL TIME ","20 WEEKS","1749","21","13","8","POSTGRADUATE CERTIFICATE","FACE TO FACE / VIRTUAL","POSTGRADUATE CERTIFICATE IN EDUCATION"
"240","FULL TIME ","2 YEARS","1766","21","6","6","ADVANCED DIPLOMA","FACE TO FACE","ADVANCED DIPLOMA IN TEACHING (TEACHING ENGLISH TO SPEAKERS OF OTHER LANGUAGE)"
"240","FULL TIME ","2 YEARS","1767","21","6","6","ADVANCED DIPLOMA","FACE TO FACE","ADVANCED DIPLOMA IN TEACHING MATHEMATICS "
"120","Full-Time","1 Year","1784","21","9","8","POSTGRADUATE DIPLOMA","Face-to-Face","POSTGRADUATE DIPLOMA IN PUBLIC HEALTH (AWARDING BODY - UNIVERSITY OF THE WEST OF ENGLAND)"
"60","Full-Time","20 Weeks","1785","21","13","8","POSTGRADUATE CERTIFICATE","Face-to-Face","POSTGRADUATE CERTIFICATE IN PUBLIC HEALTH (AWARDING BODY - UNIVERSITY OF THE WEST OF ENGLAND)"
